tick,theta1_rad,theta2_rad,x,y,ds2_total,target_term,obs_term,reg_term,grad_norm,C,S,ds2_CS,d_obs,delta_theta1,delta_theta2,delta_theta_sq
77,-0.5172562403311048,1.5372645624996817,1.253284281839653,0.32185367478264276,0.055931524858249246,0.0033167977926730975,0.0,0.05261472706557615,0.0004093659064402237,0,2,4,0.6899271018834626,2.5439908643205414e-05,-4.2023439427852356e-05,2.4131584131210134e-09
78,-0.5172308004224616,1.5372225390602539,1.253308321417256,0.3218657642534246,0.05593150548872211,0.003319888778711823,0.0,0.05261161671001029,0.0003792331670596997,0,2,4,0.6899537522042973,2.3566879083959517e-05,-3.8930431004743636e-05,2.070976247973073e-09
79,-0.5172072335433776,1.5371836086292492,1.2533305912606882,0.32187696322966675,0.055931488865727484,0.003322753484366793,0.0,0.05260873538136069,0.00035132004199959745,0,2,4,0.6899784404523517,2.1831881633743442e-05,-3.606521953132741e-05,1.7773311155126243e-09
80,-0.5171854016617439,1.537147543409718,1.2533512217620266,0.3218873373925988,0.055931474599689404,0.003325408401638401,0.0,0.052606066198051006,0.0003254628059125091,0,2,4,0.6900013112111526,2.022472577383874e-05,-3.341100739337577e-05,1.5253349476671874e-09
81,-0.5171651769359701,1.5371141324023245,1.2533703336908133,0.3218969475663705,0.05593146235631643,0.0033278688309931453,0.0,0.05260359352532328,0.0003015098423133036,0,2,4,0.6900224983915505,1.8735975916512187e-05,-3.095223853981643e-05,1.3090778641698222e-09
82,-0.5171464409600536,1.5370831801637848,1.2533880389063476,0.32190585007901024,0.05593145184875105,0.003330148965949768,0.0,0.05260130288280128,0.0002793207434978246,0,2,4,0.6900421260221516,1.735689511033936e-05,-2.867450630267998e-05,1.1234891195737563e-09
83,-0.5171290840649433,1.537054505657482,1.2534044410169451,0.321914097096301,0.05593144283083476,0.0033322619718784857,0.0,0.052599180858956276,0.0002587654780084014,0,2,4,0.6900603089808405,1.60793929970969e-05,-2.6564468118396577e-05,9.64217845568397e-10
84,-0.5171130046719462,1.5370279411893637,1.253419635990153,0.3219217369306524,0.055931435091330445,0.0033342200593771895,0.0,0.052597215031953255,0.00023972362048364234,0,2,4,0.6900771536718353,1.4895977688469259e-05,-2.460976662710834e-05,8.275307647361094e-10
85,-0.5170981086942578,1.5370033314227365,1.2534337127176085,0.3219288143268643,0.05593142844896539,0.0033360345525700118,0.0,0.05259539389639538,0.0002220836391441186,0,2,4,0.6900927586523756,1.3799711263325492e-05,-2.27989566650752e-05,7.102244559671293e-10
86,-0.5170843089829944,1.5369805324660715,1.2534467535379465,0.32193537072653966,0.05593142274817893,0.0033377159526567397,0.0,0.05259370679552219,0.00020574223652933458,0,2,4,0.6901072152128309,1.2784168607102713e-05,-2.112143770370056e-05,6.095500976461342e-10
87,-0.5170715248143873,1.5369594110283678,1.2534588347208935,0.32194144451276435,0.05593141785547338,0.003339273997022528,0.0,0.052592143858450846,0.00019060373945604822,0,2,4,0.6901206079137185,1.1843399337256727e-05,-1.956739132487839e-05,5.231489111226591e-10
88,-0.5170596814150501,1.536939843637043,1.2534700269154597,0.32194707123654565,0.05593141365628382,0.0033407177142020014,0.0,0.052590695942081815,0.00017657953446536837,0,2,4,0.6901330150828693,1.0971892580194237e-05,-1.8127723351087644e-05,4.489967806848896e-10
89,-0.51704870952247,1.5369217159136919,1.2534803955649059,0.3219522838263849,0.05593141005229174,0.003342055474972969,0.0,0.052589354577318774,0.0001635875453337054,0,2,4,0.6901445092757125,1.0164544382224305e-05,-1.6794010281449e-05,3.853567438316224e-10
90,-0.5170385449780878,1.5369049219034103,1.2534900012909695,0.3219571127822567,0.05593140695912039,0.003343295039840669,0.0,0.05258811191927972,0.00015155174946956455,0,2,4,0.6901551577014453,9.416627554701406e-06,-1.5558449708918676e-05,3.307382318489134e-10
91,-0.517029128350533,1.5368893634537013,1.253498900249641,0.3219615863551653,0.055931404304357134,0.0033444436031564322,0.0,0.052586960701200704,0.00014040173027593593,0,2,4,0.6901650226176287,8.723763769106217e-06,-1.4413814420523585e-05,2.8386210044846397e-10
92,-0.5170204045867639,1.5368749496392808,1.2535071444606085,0.3219657307133617,0.05593140202585642,0.003345507834100356,0.0,0.052585894191756063,0.0001300722627758406,0,2,4,0.6901741616955646,8.081897732107601e-06,-1.3353409904439671e-05,2.4363062702823353e-10
93,-0.5170123226890317,1.5368615962293763,1.2535147821123345,0.32196957009622146,0.05593140007028371,0.0033464939147434267,0.0,0.05258490615554028,0.00012050293000339067,0,2,4,0.6901826283586348,7.487273283654227e-06,-1.2371035008570118e-05,2.091017684073898e-10
94,-0.517004835415748,1.5368492251943677,1.2535218578445706,0.3219731269567069,0.05593139839186585,0.003347407575389987,0.0,0.05258399081647586,0.00011163776786261953,0,2,4,0.6901904720956075,6.936411273092274e-06,-1.1460945516087727e-05,1.7946707347221297e-10
95,-0.5169978990044749,1.5368377642488515,1.253528413009992,0.3219764220932685,0.05593139695131878,0.003348254127389781,0.0,0.052583142823929,0.00010342493631878056,0,2,4,0.6901977387507783,6.426089079576147e-06,-1.061782041936965e-05,1.5403273131663087e-10
96,-0.5169914729153954,1.5368271464284322,1.2535344859165012,0.32197947477196925,0.05593139571492746,0.003349038493595702,0.0,0.052582357221331755,9.581641495773185e-05,0,2,4,0.6902044707926666,5.9533216548376955e-06,-9.836730690585827e-06,1.3220330940507255e-10
97,-0.5169855195937405,1.5368173096977416,1.253540112051632,0.3219823028395693,0.055931394653756135,0.0033497652366318597,0.0,0.05258162941712428,8.876772109538921e-05,0,2,4,0.6902107075628559,5.515343971505271e-06,-9.11311036463025e-06,1.1346779964195083e-10
98,-0.516980004249769,1.536808196587377,1.2535453242903851,0.32198492282823726,0.05593139374297081,0.0033504385851260603,0.0,0.05258095515784475,8.223764875525247e-05,0,2,4,0.6902164855064555,5.109594774288517e-06,-8.442729760614886e-06,9.738764456820882e-11
